Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),Yaw (deg),Pitch (deg),Roll (deg),Velocity X (m/s),Velocity Y (m/s),Velocity Z (m/s),Accel. X (m/s^2),Accel. Y (m/s^2),Accel. Z (m/s^2),GPS TOW,GPS Week Number
544700,381417.3491429752,-5795888.634579582,-5077671.590396251,150.2942627966428,0.1325789151134076,0,3184.059905586764,4202.102378476411,-4556.526979897171,0.2724700607359409,4.524597898125648,4.418659955263138,259726.700,2296
544800,381735.7565521509,-5795468.401662685,-5078127.221056001,150.2914622659163,0.1325774952184061,0,3184.088278329,4202.555950265378,-4556.086204946041,0.2832966856658459,4.533212631940842,4.412140697240829,259726.800,2296
544900,382054.1667971506,-5795048.123390975,-5078582.807635826,150.2886612990357,0.1325761318367552,0,3184.116610558704,4203.009467106313,-4555.645372718573,0.2857414074242115,4.534842446446419,4.408415406942368,259726.900,2296
545000,382372.5798758669,-5794627.799768141,-5079038.350131757,150.2858596563816,0.1325747344980886,0,3184.144940692931,4203.462964389473,-4555.204518605024,0.2827146090567112,4.534376785159111,4.409113898873329,259727.000,2296
545100,382690.9957862145,-5794207.430797844,-5079493.848539839,150.2830574126553,0.1325733434226222,0,3184.173251036555,4203.916425351053,-4554.763626307249,0.2802698872983456,4.533911123871803,4.409346729516983,259727.100,2296
545200,383009.4145260921,-5793787.016483772,-5079949.302856099,150.280254555674,0.1325719366672623,0,3184.201535652392,4204.36984533444,-4554.322687443346,0.2906308509409428,4.546018317341805,4.397006705403328,259727.200,2296
545300,383327.836093449,-5793366.556829549,-5080404.713076624,150.277451126975,0.1325705504874206,0,3184.229802340269,4204.823225736618,-4553.881707601249,0.2868473529815674,4.541594535112381,4.401663318276405,259727.300,2296
545400,383646.260486163,-5792946.051838876,-5080860.079197428,150.2746470168653,0.1325691474943713,0,3184.258046443574,4205.276572145522,-4553.440690971911,0.2876040525734425,4.536937922239304,4.407018423080444,259727.400,2296
545500,383964.6877021766,-5792525.501515408,-5081315.40121457,150.2718424617023,0.132567722929817,0,3184.286269824952,4205.729888752103,-4552.999642211944,0.2867891453206539,4.53554093837738,4.408182576298714,259727.500,2296
545600,384283.1177393864,-5792104.905862826,-5081770.679124086,150.2690372236284,0.1325663136714846,0,3184.314475860447,4206.183166243136,-4552.558552939445,0.2861488610506058,4.538334906101227,4.405854269862175,259727.600,2296
545700,384601.5505957133,-5791684.264884785,-5082225.912922031,150.2662313958131,0.1325648793236453,0,3184.342656633817,4206.636403221637,-4552.117416635156,0.283063855022192,4.536937922239304,4.406087100505829,259727.700,2296
545800,384919.9862690701,-5791263.578584958,-5082681.102604453,150.2634249775476,0.1325634676115753,0,3184.370818780735,4207.089599687606,-4551.676238421351,0.2769520506262779,4.529254510998726,4.41400334239006,259727.800,2296
545900,385238.424757363,-5790842.846967013,-5083136.248167404,150.2606178782299,0.1325620296924758,0,3184.398957528174,4207.542762160301,-4551.235023420304,0.2782326191663742,4.525063559412956,4.419591277837753,259727.900,2296
546000,385556.8660585124,-5790422.070034632,-5083591.349606913,150.2578103261544,0.1325606124881268,0,3184.427071129903,4207.995887845755,-4550.793770235032,0.2813758328557014,4.528556019067764,4.415865987539291,259728.000,2296
546100,385875.310170437,-5790001.247791471,-5084046.406919049,150.25500211267,0.1325591525829772,0,3184.455162496306,4208.448971156031,-4550.352469086647,0.2773012965917587,4.527159035205841,4.417961463332176,259728.100,2296
546200,386193.7570910412,-5789580.380241209,-5084501.42009985,150.2521932970328,0.1325577071459966,0,3184.483238495886,4208.902023732662,-4549.911134876311,0.2767192199826241,4.526227712631226,4.418659955263138,259728.200,2296
546300,386512.2068182456,-5789159.467387506,-5084956.389145373,150.2493838773887,0.1325562633093038,0,3184.511294704862,4209.355040919036,-4549.469763878733,0.2704327926039696,4.520872607827187,4.423316568136215,259728.300,2296
546400,386830.6593499437,-5788738.509234061,-5085411.314051646,150.2465738505213,0.1325548064506696,0,3184.539334848523,4209.808020386845,-4549.028352368623,0.2785236574709415,4.530651494860649,4.413304850459099,259728.400,2296
546500,387149.1146840707,-5788317.505784506,-5085866.194814757,150.2437631614281,0.1325533500480393,0,3184.567345189862,4210.2609584108,-4548.586896620691,0.2824235707521439,4.529254510998726,4.415400326251984,259728.500,2296
546600,387467.572818541,-5787896.457042535,-5086321.031430733,150.2409520302932,0.1325518893414423,0,3184.595330036245,4210.713861044496,-4548.145401291549,0.2820161171257496,4.528556019067764,4.415633156895638,259728.600,2296
546700,387786.0337512644,-5787475.363011812,-5086775.823895634,150.238140221255,0.1325504245583398,0,3184.623309760354,4211.166738532484,-4547.703880351037,0.2773595042526722,4.525994881987572,4.417961463332176,259728.700,2296
